date,ttf,nbp,fx,national_grid_commodity_entry,bacton_entry,iuk_be_uk,iuk_commodity_be_uk,gts_exit,fluxys_nl_zee_ocuc,fluxys_commodity,iuk_booked_capacity,iuk_technical_capacity,bacton_booked_entry
28/12/2022,170,400,0.85,1.169353581,2.494034831,6.25,0.395368703,1.728201575,0.614222102,0.33879016,35.89093527,59.24335855,0
29/12/2022,170,400,0.85,1.169353581,2.494034831,6.25,0.395368703,1.728201575,0.614222102,0.33879016,35.89093527,59.24335855,0
30/12/2022,170,400,0.85,1.169353581,2.494034831,6.25,0.395368703,1.728201575,0.614222102,0.33879016,35.89093527,59.24335855,0
31/12/2022,170,400,0.85,1.169353581,2.494034831,6.25,0.395368703,1.728201575,0.614222102,0.33879016,35.89093527,59.24335855,0
01/01/2023,170,400,0.85,1.169353581,2.494034831,6.25,0.395368703,2.018607998,0.727368279,0.33879016,32.618208,59.24335855,10.57260027
02/01/2023,170,401,0.85,1.169353581,2.494034831,6.25,0.395368703,2.018607998,0.727368279,0.33879016,32.618208,59.24335855,10.57260027
03/01/2023,170,402,0.85,1.169353581,2.494034831,6.25,0.395368703,2.018607998,0.727368279,0.33879016,32.618208,59.24335855,10.57260027
04/01/2023,170,403,0.85,1.169353581,2.494034831,6.25,0.395368703,2.018607998,0.727368279,0.33879016,32.618208,59.24335855,10.57260027
05/01/2023,170,404,0.85,1.169353581,2.494034831,6.25,0.395368703,2.018607998,0.727368279,0.33879016,32.618208,59.24335855,10.57260027
06/01/2023,170,405,0.85,1.169353581,2.494034831,6.25,0.395368703,2.018607998,0.727368279,0.33879016,32.618208,59.24335855,10.57260027
07/01/2023,170,406,0.85,1.169353581,2.494034831,6.25,0.395368703,2.018607998,0.727368279,0.33879016,32.618208,59.24335855,10.57260027
08/01/2023,170,407,0.85,1.169353581,2.494034831,6.25,0.395368703,2.018607998,0.727368279,0.33879016,32.618208,59.24335855,10.57260027
09/01/2023,170,408,0.85,1.169353581,2.494034831,6.25,0.395368703,2.018607998,0.727368279,0.33879016,32.618208,59.24335855,10.57260027
10/01/2023,170,409,0.85,1.169353581,2.494034831,6.25,0.395368703,2.018607998,0.727368279,0.33879016,32.618208,59.24335855,10.57260027
11/01/2023,170,410,0.85,1.169353581,2.494034831,6.25,0.395368703,2.018607998,0.727368279,0.33879016,32.618208,59.24335855,10.57260027
12/01/2023,170,411,0.85,1.169353581,2.494034831,6.25,0.395368703,2.018607998,0.727368279,0.33879016,32.618208,59.24335855,10.57260027
13/01/2023,170,412,0.85,1.169353581,2.494034831,6.25,0.395368703,2.018607998,0.727368279,0.33879016,32.618208,59.24335855,10.57260027
14/01/2023,170,413,0.85,1.169353581,2.494034831,6.25,0.395368703,2.018607998,0.727368279,0.33879016,32.618208,59.24335855,10.57260027
15/01/2023,170,414,0.85,1.169353581,2.494034831,6.25,0.395368703,2.018607998,0.727368279,0.33879016,32.618208,59.24335855,10.57260027
16/01/2023,170,415,0.85,1.169353581,2.494034831,6.25,0.395368703,2.018607998,0.727368279,0.33879016,32.618208,59.24335855,10.57260027
17/01/2023,170,416,0.85,1.169353581,2.494034831,6.25,0.395368703,2.018607998,0.727368279,0.33879016,32.618208,59.24335855,10.57260027
18/01/2023,170,417,0.85,1.169353581,2.494034831,6.25,0.395368703,2.018607998,0.727368279,0.33879016,32.618208,59.24335855,10.57260027
19/01/2023,170,418,0.85,1.169353581,2.494034831,6.25,0.395368703,2.018607998,0.727368279,0.33879016,32.618208,59.24335855,10.57260027
20/01/2023,170,419,0.85,1.169353581,2.494034831,6.25,0.395368703,2.018607998,0.727368279,0.33879016,32.618208,59.24335855,10.57260027
21/01/2023,170,420,0.85,1.169353581,2.494034831,6.25,0.395368703,2.018607998,0.727368279,0.33879016,32.618208,59.24335855,10.57260027
22/01/2023,170,421,0.85,1.169353581,2.494034831,6.25,0.395368703,2.018607998,0.727368279,0.33879016,32.618208,59.24335855,10.57260027
23/01/2023,170,422,0.85,1.169353581,2.494034831,6.25,0.395368703,2.018607998,0.727368279,0.33879016,32.618208,59.24335855,10.57260027
24/01/2023,170,423,0.85,1.169353581,2.494034831,6.25,0.395368703,2.018607998,0.727368279,0.33879016,32.618208,59.24335855,10.57260027
25/01/2023,170,424,0.85,1.169353581,2.494034831,6.25,0.395368703,2.018607998,0.727368279,0.33879016,32.618208,59.24335855,10.57260027
26/01/2023,170,425,0.85,1.169353581,2.494034831,6.25,0.395368703,2.018607998,0.727368279,0.33879016,32.618208,59.24335855,10.57260027
27/01/2023,170,426,0.85,1.169353581,2.494034831,6.25,0.395368703,2.018607998,0.727368279,0.33879016,32.618208,59.24335855,10.57260027
28/01/2023,170,427,0.85,1.169353581,2.494034831,6.25,0.395368703,2.018607998,0.727368279,0.33879016,32.618208,59.24335855,10.57260027
29/01/2023,170,428,0.85,1.169353581,2.494034831,6.25,0.395368703,2.018607998,0.727368279,0.33879016,32.618208,59.24335855,10.57260027
